,_id,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,TIMESTAMP,createdAt,updatedAt,__v,SLBMH_TOT_VAL,VWAP,mTIMESTAMP,CA,symChange
512,63ce8b455be31100068ef270,GMRINFRA,EQ,N,37.25,36.45,37.0,36.7,36.65,36.85,17302323,639530033.1,49.15,22.5,42693,INE776C01039,2022-03-25,2022-03-24T18:30:00.000Z,2023-01-23T13:27:33.409Z,2023-01-23T13:27:33.409Z,0,,36.96,25-Mar-2022,,
513,63ce8b54a6943c000749a8e8,GMRINFRA,EQ,N,36.8,35.7,36.7,35.9,35.85,36.7,36688989,1320425078.5,49.15,22.5,41079,INE776C01039,2022-03-28,2022-03-27T18:30:00.000Z,2023-01-23T13:27:48.747Z,2023-01-23T13:27:48.747Z,0,,35.99,28-Mar-2022,,
514,63ce8b63262b0c000763d04c,GMRINFRA,EQ,N,37.0,35.45,36.0,36.7,36.65,35.9,16891895,615442186.15,49.15,22.5,44605,INE776C01039,2022-03-29,2022-03-28T18:30:00.000Z,2023-01-23T13:28:03.767Z,2023-01-23T13:28:03.767Z,0,,36.43,29-Mar-2022,,
515,63ce8b72d0a9900007ad6030,GMRINFRA,EQ,N,37.6,36.6,36.95,37.1,36.9,36.7,9158273,340392497.3,49.15,22.5,36826,INE776C01039,2022-03-30,2022-03-29T18:30:00.000Z,2023-01-23T13:28:18.752Z,2023-01-23T13:28:18.752Z,0,,37.17,30-Mar-2022,,
516,63ce8b818e4da900077ac678,GMRINFRA,EQ,N,37.6,36.35,37.05,36.95,36.85,37.1,14694242,543238102.8,49.15,22.5,39205,INE776C01039,2022-03-31,2022-03-30T18:30:00.000Z,2023-01-23T13:28:33.846Z,2023-01-23T13:28:33.846Z,0,,36.97,31-Mar-2022,,
517,63ce8841c7307c0007d9cd92,GMRINFRA,EQ,N,49.05,45.4,46.4,48.45,48.4,45.8,116152197,5573821446.8,49.15,22.5,114581,INE776C01039,2022-01-10,2022-01-09T18:30:00.000Z,2023-01-23T13:14:41.998Z,2023-01-23T13:14:41.998Z,0,,47.99,10-Jan-2022,,
518,63ce8851a6943c0007497f10,GMRINFRA,EQ,N,46.7,43.15,43.75,44.85,44.75,48.45,58181562,2624549908.95,49.15,22.5,60052,INE776C01039,2022-01-11,2022-01-10T18:30:00.000Z,2023-01-23T13:14:57.042Z,2023-01-23T13:14:57.042Z,0,,45.11,11-Jan-2022,"[{'symbol': 'GMRINFRA', 'series': 'EQ', 'ind': '-', 'faceVal': '1', 'subject': 'Demerger', 'exDate': '11-Jan-2022', 'recDate': '12-Jan-2022', 'bcStartDate': '-', 'bcEndDate': '-', 'ndStartDate': '-', 'comp': 'GMR Airports Infrastructure Limited', 'isin': 'INE776C01039', 'ndEndDate': '-', 'caBroadcastDate': None}]",
519,63ce8860c943230007f83554,GMRINFRA,EQ,N,45.4,43.95,45.0,45.1,45.0,44.85,23224952,1038744449.7,49.15,22.5,56614,INE776C01039,2022-01-12,2022-01-11T18:30:00.000Z,2023-01-23T13:15:12.232Z,2023-01-23T13:15:12.232Z,0,,44.73,12-Jan-2022,,
520,63ce886fa6943c00074988e5,GMRINFRA,EQ,N,45.2,44.3,45.1,44.55,44.7,45.1,15851805,708895381.4,49.15,22.5,46650,INE776C01039,2022-01-13,2022-01-12T18:30:00.000Z,2023-01-23T13:15:27.413Z,2023-01-23T13:15:27.413Z,0,,44.72,13-Jan-2022,,
521,63ce887ec7307c0007d9d90a,GMRINFRA,EQ,N,45.95,44.25,44.5,45.35,45.3,44.55,23324620,1055895114.1,49.15,22.5,50715,INE776C01039,2022-01-14,2022-01-13T18:30:00.000Z,2023-01-23T13:15:42.547Z,2023-01-23T13:15:42.547Z,0,,45.27,14-Jan-2022,,
